system,noise,snr_db,PESQ,SIG,BAK,OVRL,CSIG,CBAK,COVL,n_files
AIDA2_thetauFB,living,7.5,1.3974198670614333,3.0778906221969313,3.5265272752493906,2.593629784326247,2.369262638893182,1.886697341462776,1.8319828753316536,42
AIDA2_thetauFB,living,12.5,1.5543766021728516,3.1836603894949955,3.7637412386077522,2.791240527999622,2.7573299125159276,2.0212142850592816,2.117976883861983,42
AIDA2_thetauFB,living,17.5,1.7958817690610887,3.249239411115414,3.8790749137593457,2.906870534401399,3.109236395663485,2.1958396886662293,2.432798247180297,40
AIDA2_thetauFB,office,2.5,1.6265601694583893,3.1635129573062946,3.881547958303083,2.818285412379193,2.921564856458954,2.023171755559031,2.241196062531163,40
AIDA2_thetauFB,office,7.5,1.9690966780592756,3.257008895142341,3.9981207776944876,2.954490880430942,3.452531438070836,2.2643831649733985,2.6979109172332203,41
AIDA2_thetauFB,office,12.5,2.3161982411429998,3.310131980048874,4.017102133893815,3.0245523061761594,3.8208844005784734,2.467711533061279,3.0709848814354994,42
AIDA2_thetauFB,office,17.5,2.410580739742372,3.3277743070746104,4.054659951646141,3.0551941657851205,4.055774289855564,2.587778627984904,3.250668262416889,41
AIDA2_thetauFB,psquare,2.5,1.2946314317424124,3.069688921366985,3.373402345845812,2.517653604147387,2.4703177943860752,1.7540814934841928,1.8157055475871289,41
AIDA2_thetauFB,psquare,7.5,1.4758959384191603,3.1726863446371616,3.6369866858354127,2.7206367859945484,2.781657641855163,1.9393876442823346,2.0849325950288593,42
AIDA2_thetauFB,psquare,12.5,1.6368830552915248,3.2946299965745847,3.8918859644343797,2.9453602479866032,3.1885038818213514,2.0860397130417927,2.3888816840453253,41
AIDA2_thetauFB,psquare,17.5,1.917588750521342,3.353136708865727,3.920263272059073,3.0156845371217673,3.496798799289176,2.2815362836867554,2.696091703063612,42
SEM,bus,2.5,1.9013549515179224,3.3091656167785506,3.381222693400722,2.749571720812488,3.275873107611446,1.8328009624128787,2.5360285272594076,42
SEM,bus,7.5,2.4596995144355587,3.4364836798730125,3.755112950806563,2.993261199952485,3.8812374746631684,2.2564019138938542,3.1478755121650477,41
SEM,bus,12.5,2.8233327458544477,3.426246977970289,3.856945494165888,3.043610412779913,4.284151246566295,2.558832232424211,3.5488592333592512,41
SEM,bus,17.5,3.366189444065094,3.4409959731494197,3.9217783337890233,3.0980736159211983,4.667636871260426,2.935418862852708,4.065467695070925,40
SEM,cafe,2.5,1.1765032467387972,2.4032648364505342,1.9496883985770568,1.7763572270740535,1.9981141530442459,1.374552597987667,1.4991020006724558,42
SEM,cafe,7.5,1.3966587632894516,3.2518814042547453,2.798893528168383,2.466216698048956,2.5741028517209856,1.637466207715915,1.9257897442109155,40
SEM,cafe,12.5,1.650536621489176,3.447656174707772,3.2407462872766484,2.7700509340040638,3.021996209878745,1.891423903715907,2.2969151989696703,41
SEM,cafe,17.5,2.087943327136156,3.4590402901852317,3.5558201878471225,2.9430075450306754,3.531660273201768,2.229195187058826,2.7884325995907067,41
SEM,living,2.5,1.224468591667357,2.696815293467425,2.196851947491374,1.9800735192145018,2.1245861316827592,1.4009210912857646,1.588366599321267,42
