system,noise,snr_db,metric,n,mean,ci_low,ci_high,nu_mean
AIDA2_betauFB,psquare,2.5,CSIG,41,2.6405811309814453,2.5448827743530273,2.737839460372925,21.44256591796875
AIDA2_betauFB,psquare,2.5,CBAK,41,1.5472418069839478,1.494729995727539,1.6011027097702026,24.141551971435547
AIDA2_betauFB,psquare,2.5,COVL,41,1.9046494960784912,1.827105164527893,1.9809691905975342,20.003021240234375
AIDA2_betauFB,psquare,7.5,PESQ,42,1.5362976789474487,1.4355753660202026,1.633013367652893,26.91870880126953
AIDA2_betauFB,psquare,7.5,CSIG,42,2.991137742996216,2.898268938064575,3.0864131450653076,23.714832305908203
AIDA2_betauFB,psquare,7.5,CBAK,42,1.8049061298370361,1.7520352602005005,1.8576916456222534,22.935630798339844
AIDA2_betauFB,psquare,7.5,COVL,42,2.2248504161834717,2.1368629932403564,2.316192388534546,25.147924423217773
AIDA2_betauFB,psquare,12.5,PESQ,41,1.9314637184143066,1.7716110944747925,2.0844061374664307,25.32914161682129
AIDA2_betauFB,psquare,12.5,CSIG,41,3.5253806114196777,3.4065256118774414,3.6425719261169434,17.26243782043457
AIDA2_betauFB,psquare,12.5,CBAK,41,2.1217641830444336,2.0410478115081787,2.2017693519592285,23.69940948486328
AIDA2_betauFB,psquare,12.5,COVL,41,2.7049312591552734,2.5650250911712646,2.8441007137298584,23.22316551208496
AIDA2_betauFB,psquare,17.5,PESQ,42,2.530334711074829,2.4026877880096436,2.6526873111724854,24.1353759765625
AIDA2_betauFB,psquare,17.5,CSIG,42,4.001787185668945,3.8697831630706787,4.130198001861572,23.732807159423828
AIDA2_betauFB,psquare,17.5,CBAK,42,2.528228521347046,2.460660457611084,2.5927371978759766,24.12079429626465
AIDA2_betauFB,psquare,17.5,COVL,42,3.2561769485473633,3.1273770332336426,3.3849287033081055,24.25510597229004
AIDA2_thetaWFB,bus,2.5,PESQ,42,1.657694935798645,1.551080346107483,1.7711817026138306,21.25641441345215
AIDA2_thetaWFB,bus,2.5,CSIG,42,3.0666587352752686,2.9259657859802246,3.2069919109344482,21.945083618164062
AIDA2_thetaWFB,bus,2.5,CBAK,42,1.9101918935775757,1.8466030359268188,1.9721893072128296,24.25206756591797
AIDA2_thetaWFB,bus,2.5,COVL,42,2.3051998615264893,2.1846396923065186,2.4259724617004395,21.877090454101562
AIDA2_thetaWFB,bus,7.5,PESQ,41,2.0239226818084717,1.9172461032867432,2.1334547996520996,23.898122787475586
AIDA2_thetaWFB,bus,7.5,CSIG,41,3.5322916507720947,3.41231369972229,3.6509413719177246,21.301172256469727
AIDA2_thetaWFB,bus,7.5,CBAK,41,2.2028281688690186,2.1507513523101807,2.2539336681365967,23.780637741088867
AIDA2_thetaWFB,bus,7.5,COVL,41,2.747809648513794,2.635322093963623,2.856130361557007,22.62015724182129
AIDA2_thetaWFB,bus,12.5,PESQ,41,2.1894514560699463,2.057866096496582,2.3208107948303223,24.963441848754883
AIDA2_thetaWFB,bus,12.5,CSIG,41,3.838637351989746,3.7188358306884766,3.9573543071746826,17.610116958618164
AIDA2_thetaWFB,bus,12.5,CBAK,41,2.3576314449310303,2.2936222553253174,2.419677734375,24.27068519592285
AIDA2_thetaWFB,bus,12.5,COVL,41,2.998716354370117,2.868236541748047,3.123725414276123,23.7540283203125
AIDA2_thetaWFB,bus,17.5,PESQ,40,2.249650478363037,2.1319589614868164,2.3620445728302,24.258840560913086
AIDA2_thetaWFB,bus,17.5,CSIG,40,3.9915413856506348,3.866992235183716,4.115673542022705,23.028650283813477
AIDA2_thetaWFB,bus,17.5,CBAK,40,2.449241876602173,2.3846123218536377,2.511944532394409,23.415557861328125
AIDA2_thetaWFB,bus,17.5,COVL,40,3.1233370304107666,2.9931228160858154,3.2451834678649902,23.685346603393555
AIDA2_thetaWFB,cafe,2.5,PESQ,42,1.2019683122634888,1.1620768308639526,1.2414213418960571,19.73043441772461
AIDA2_thetaWFB,cafe,2.5,CSIG,42,1.969009518623352,1.8345046043395996,2.1012017726898193,22.12957763671875
AIDA2_thetaWFB,cafe,2.5,CBAK,42,1.5694317817687988,1.5269789695739746,1.6124703884124756,21.12545394897461
